Model,RMSE,MAE,R2
RandomForest,1399758.195088448,1021151.0811926605,0.6123660550314123
LinearRegression,1324506.96009144,970043.4039201642,0.6529242642153177
SVR,2359649.3591341525,1763890.296258186,-0.10156646889460341
