model,type,rmse,r2,accuracy
LinearRegression,regression,1324506.9600914402,0.6529242642153175,
Ridge,regression,1325417.4583414705,0.6524469236249018,
Lasso,regression,1324508.622728772,0.6529233928549476,
RandomForestRegressor,regression,1406342.7407317874,0.60871057122346,
GradientBoostingRegressor,regression,1299327.0954869646,0.6659951650128004,
LogisticRegression,classification,,,0.8073394495412844
RandomForestClassifier,classification,,,0.7614678899082569
GradientBoostingClassifier,classification,,,0.7889908256880734
SVC,classification,,,0.7981651376146789
